,DIAGNOSIS CODE,LONG DESCRIPTION,HIERARCHY
115,01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '010', '0109', '01095']"
116,01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '010', '0109', '01096']"
117,0110,Tuberculosis of lung infiltrative,"['001-139', '010-018', '011', '0110']"
118,01100,"Tuberculosis of lung, infiltrative, unspecified","['001-139', '010-018', '011', '0110', '01100']"
119,01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done","['001-139', '010-018', '011', '0110', '01101']"
120,01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0110', '01102']"
121,01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0110', '01103']"
122,01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0110', '01104']"
123,01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0110', '01105']"
124,01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0110', '01106']"
125,0111,Tuberculosis of lung nodular,"['001-139', '010-018', '011', '0111']"
126,01110,"Tuberculosis of lung, nodular, unspecified","['001-139', '010-018', '011', '0111', '01110']"
127,01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done","['001-139', '010-018', '011', '0111', '01111']"
128,01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0111', '01112']"
129,01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0111', '01113']"
130,01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0111', '01114']"
131,01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0111', '01115']"
132,01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0111', '01116']"
133,0112,Tuberculosis of lung with cavitation,"['001-139', '010-018', '011', '0112']"
134,01120,"Tuberculosis of lung with cavitation, unspecified","['001-139', '010-018', '011', '0112', '01120']"
135,01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done","['001-139', '010-018', '011', '0112', '01121']"
136,01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0112', '01122']"
137,01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0112', '01123']"
138,01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0112', '01124']"
139,01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0112', '01125']"
140,01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0112', '01126']"
141,0113,Tuberculosis of bronchus,"['001-139', '010-018', '011', '0113']"
142,01130,"Tuberculosis of bronchus, unspecified","['001-139', '010-018', '011', '0113', '01130']"
143,01131,"Tuberculosis of bronchus, bacteriological or histological examination not done","['001-139', '010-018', '011', '0113', '01131']"
144,01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0113', '01132']"
145,01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0113', '01133']"
146,01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture","['001-139', '010-018', '011', '0113', '01134']"
147,01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0113', '01135']"
148,01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0113', '01136']"
149,0114,Tuberculous fibrosis of lung,"['001-139', '010-018', '011', '0114']"
150,01140,"Tuberculous fibrosis of lung, unspecified","['001-139', '010-018', '011', '0114', '01140']"
151,01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done","['001-139', '010-018', '011', '0114', '01141']"
152,01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0114', '01142']"
153,01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0114', '01143']"
154,01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0114', '01144']"
155,01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0114', '01145']"
156,01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0114', '01146']"
157,0115,Tuberculous bronchiectasis,"['001-139', '010-018', '011', '0115']"
158,01150,"Tuberculous bronchiectasis, unspecified","['001-139', '010-018', '011', '0115', '01150']"
159,01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done","['001-139', '010-018', '011', '0115', '01151']"
160,01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0115', '01152']"
161,01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0115', '01153']"
162,01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0115', '01154']"
163,01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0115', '01155']"
164,01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0115', '01156']"
165,0116,Tuberculous pneumonia (any form),"['001-139', '010-018', '011', '0116']"
166,01160,"Tuberculous pneumonia [any form], unspecified","['001-139', '010-018', '011', '0116', '01160']"
167,01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done","['001-139', '010-018', '011', '0116', '01161']"
168,01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0116', '01162']"
169,01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0116', '01163']"
170,01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0116', '01164']"
171,01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0116', '01165']"
172,01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0116', '01166']"
173,0117,Tuberculous pneumothorax,"['001-139', '010-018', '011', '0117']"
174,01170,"Tuberculous pneumothorax, unspecified","['001-139', '010-018', '011', '0117', '01170']"
175,01171,"Tuberculous pneumothorax, bacteriological or histological examination not done","['001-139', '010-018', '011', '0117', '01171']"
176,01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0117', '01172']"
177,01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0117', '01173']"
178,01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0117', '01174']"
179,01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0117', '01175']"
180,01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0117', '01176']"
181,0118,Other specified pulmonary tuberculosis,"['001-139', '010-018', '011', '0118']"
182,01180,"Other specified pulmonary tuberculosis, unspecified","['001-139', '010-018', '011', '0118', '01180']"
183,01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done","['001-139', '010-018', '011', '0118', '01181']"
184,01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0118', '01182']"
185,01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0118', '01183']"
186,01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0118', '01184']"
187,01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0118', '01185']"
188,01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0118', '01186']"
189,0119,Unspecified pulmonary tuberculosis,"['001-139', '010-018', '011', '0119']"
190,01190,"Pulmonary tuberculosis, unspecified, unspecified","['001-139', '010-018', '011', '0119', '01190']"
191,01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done","['001-139', '010-018', '011', '0119', '01191']"
192,01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '011', '0119', '01192']"
193,01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '011', '0119', '01193']"
194,01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '011', '0119', '01194']"
195,01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '011', '0119', '01195']"
196,01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '011', '0119', '01196']"
197,0120,Tuberculous pleurisy,"['001-139', '010-018', '012', '0120']"
198,01200,"Tuberculous pleurisy, unspecified","['001-139', '010-018', '012', '0120', '01200']"
199,01201,"Tuberculous pleurisy, bacteriological or histological examination not done","['001-139', '010-018', '012', '0120', '01201']"
200,01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '012', '0120', '01202']"
201,01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '012', '0120', '01203']"
202,01204,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '012', '0120', '01204']"
203,01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '012', '0120', '01205']"
204,01206,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '012', '0120', '01206']"
205,0121,Tuberculosis of intrathoracic lymph nodes,"['001-139', '010-018', '012', '0121']"
206,01210,"Tuberculosis of intrathoracic lymph nodes, unspecified","['001-139', '010-018', '012', '0121', '01210']"
207,01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done","['001-139', '010-018', '012', '0121', '01211']"
208,01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '012', '0121', '01212']"
209,01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '012', '0121', '01213']"
210,01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '012', '0121', '01214']"
211,01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '012', '0121', '01215']"
212,01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '012', '0121', '01216']"
213,0122,Isolated tracheal or bronchial tuberculosis,"['001-139', '010-018', '012', '0122']"
214,01220,"Isolated tracheal or bronchial tuberculosis, unspecified","['001-139', '010-018', '012', '0122', '01220']"
215,01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done","['001-139', '010-018', '012', '0122', '01221']"
216,01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '012', '0122', '01222']"
217,01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '012', '0122', '01223']"
218,01224,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '012', '0122', '01224']"
219,01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '012', '0122', '01225']"
220,01226,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '012', '0122', '01226']"
221,0123,Tuberculous laryngitis,"['001-139', '010-018', '012', '0123']"
222,01230,"Tuberculous laryngitis, unspecified","['001-139', '010-018', '012', '0123', '01230']"
223,01231,"Tuberculous laryngitis, bacteriological or histological examination not done","['001-139', '010-018', '012', '0123', '01231']"
224,01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '012', '0123', '01232']"
225,01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '012', '0123', '01233']"
226,01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '012', '0123', '01234']"
227,01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '012', '0123', '01235']"
228,01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '012', '0123', '01236']"
229,0128,Other specified respiratory tuberculosis,"['001-139', '010-018', '012', '0128']"
230,01280,"Other specified respiratory tuberculosis, unspecified","['001-139', '010-018', '012', '0128', '01280']"
231,01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done","['001-139', '010-018', '012', '0128', '01281']"
232,01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '012', '0128', '01282']"
233,01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '012', '0128', '01283']"
234,01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '012', '0128', '01284']"
235,01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '012', '0128', '01285']"
236,01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '012', '0128', '01286']"
237,0130,Tuberculous meningitis,"['001-139', '010-018', '013', '0130']"
238,01300,"Tuberculous meningitis, unspecified","['001-139', '010-018', '013', '0130', '01300']"
239,01301,"Tuberculous meningitis, bacteriological or histological examination not done","['001-139', '010-018', '013', '0130', '01301']"
240,01302,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)","['001-139', '010-018', '013', '0130', '01302']"
241,01303,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy","['001-139', '010-018', '013', '0130', '01303']"
242,01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture","['001-139', '010-018', '013', '0130', '01304']"
243,01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically","['001-139', '010-018', '013', '0130', '01305']"
244,01306,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]","['001-139', '010-018', '013', '0130', '01306']"
